,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,effect,target,Label
1,CDKN2A,382.938793130168,1.24615127620512,0.172321678892056,7.23154094259795,4.77544075224732e-13,6.0032065696501e-09,Upregulated,PcB target,CDKN2A
2,IGF2BP1,173.310145150788,1.30863992632498,0.224852202512217,5.82000047899853,5.8847458775124e-09,2.46590468087361e-05,Upregulated,PcB target,IGF2BP1
3,TEX15,165.293018644081,-1.0628532716818,0.248042865558408,-4.28495804259091,1.82773678600479e-05,0.0229764791368663,Downregulated,PcB target,TEX15
4,HILPDA,108.892447420586,-0.989712988754346,0.250829872385857,-3.9457540656555,7.95492317891193e-05,0.0560227169745683,Downregulated,PcB target,HILPDA
5,ADGRA2,364.577525887437,-0.627948962167816,0.160814686426753,-3.90479859844038,9.43038887727772e-05,0.0592747092881291,Downregulated,PcB target,ADGRA2
6,MMP15,460.854442883365,0.706585993666447,0.184267732176841,3.83456172884539,0.000125788380402605,0.0695067701555477,Upregulated,PcB target,MMP15
7,SLC39A8,200.059544949806,-0.717008236769706,0.191771976195528,-3.7388582575728,0.000184857913319897,0.0707264077092044,Downregulated,PcB target,SLC39A8
8,NEURL1B,553.438085363532,-0.505363264260642,0.139325141321629,-3.62722233379274,0.000286486593242689,0.0947742885172063,NS,PcB target,NA
9,MAP3K21,99.1258180807507,-0.830872027632061,0.238708853457015,-3.48069213017974,0.000500119989111454,0.119891665991875,NS,PcB target,NA
10,RIPOR2,1120.04612789363,0.339645499911386,0.0979929075434863,3.46602125016712,0.000528221529060871,0.119891665991875,NS,PcB target,NA
11,PFKP,2191.1796974177,-0.388203196087965,0.11170352531956,-3.47529941402833,0.00051028345240007,0.119891665991875,NS,PcB target,NA
12,EBF3,494.267324038929,0.519307111491973,0.149956397675775,3.46305405798545,0.000534081083091638,0.119891665991875,NS,PcB target,NA
13,NEDD4L,308.318586593034,0.628045340804225,0.180831709557973,3.47309297876697,0.000514497083523858,0.119891665991875,NS,PcB target,NA
14,PRPS2,290.443804561561,-0.528557036411443,0.150768536245632,-3.50575159495029,0.000455319944995831,0.119891665991875,NS,PcB target,NA
15,KLHL8,259.806764858777,-0.557075038969193,0.168015772320088,-3.31561157191782,0.000914428308231093,0.146718535525274,NS,PcB target,NA
16,BMP7,89.033293879594,0.957532497889531,0.290242243665508,3.29908040193159,0.000970021238463201,0.149189577445854,NS,PcB target,NA
17,C14orf39,58.9947860801678,2.4973306119069,0.772533410627569,3.23265062397519,0.00122647459623618,0.160892772811295,NS,PcB target,NA
18,DYRK3,345.806221786815,-0.451864199222972,0.141132291092637,-3.20170668048161,0.00136616030744024,0.166737875969235,NS,PcB target,NA
19,SMPD1,164.806311793571,0.749758404388981,0.233952966602669,3.20473988971605,0.00135184586509842,0.166737875969235,NS,PcB target,NA
20,TMEM97,869.639257305598,-0.457859892435558,0.143508622171993,-3.19046957253077,0.00142041797197918,0.168453531375003,NS,PcB target,NA
21,CCDC38,50.7182884921681,1.34607370728915,0.4282485882249,3.14320640931628,0.00167107957173658,0.183313130614208,NS,PcB target,NA
22,S100A10,599.492076314845,0.666223983927018,0.21881508585576,3.04468945238165,0.00232920679196169,0.218510884938436,NS,PcB target,NA
23,NFIL3,164.395657038757,0.588299174419922,0.194987458077909,3.0171128964862,0.00255194749302257,0.21972967078621,NS,PcB target,NA
24,NUAK1,126.172665791925,0.999941477388296,0.331112061910413,3.01994881013681,0.0025281741110824,0.21972967078621,NS,PcB target,NA
25,FN1,519.715216240904,0.864753653290753,0.297026085967021,2.91137275190964,0.00359844445737608,0.259977271687785,NS,PcB target,NA
26,COL2A1,748.074715594137,1.26963381919424,0.44241317557364,2.86979206156783,0.00410741811762047,0.273197635749243,NS,PcB target,NA
27,CCDC184,151.728679114527,0.670383904637841,0.23245436514147,2.88393768914535,0.00392736454957856,0.273197635749243,NS,PcB target,NA
28,FAM81A,217.686668932338,-0.539848899876897,0.187979748144636,-2.87184606429797,0.00408081696373579,0.273197635749243,NS,PcB target,NA
29,ABR,32.181102055274,1.72525610506822,0.599875407932736,2.8760240580852,0.00402719015991136,0.273197635749243,NS,PcB target,NA
30,SLC29A2,265.338186700994,-0.618994950041054,0.216820811891613,-2.85486870305829,0.00430546241562089,0.279148001684576,NS,PcB target,NA
31,AMOTL2,193.689307976627,0.749882987594807,0.263209378911583,2.8489979752838,0.00438571595721977,0.282732488708768,NS,PcB target,NA
32,HMGA2,400.504481411073,0.461731213200369,0.16354116934126,2.82333320142085,0.00475271490937043,0.292260101172076,NS,PcB target,NA
33,BACH2,738.713716830396,0.413526522234344,0.150380904507834,2.74986058627412,0.00596206249106934,0.328601796713473,NS,PcB target,NA
34,FGFRL1,995.227827775855,0.340933993052082,0.126962504363825,2.68531244527989,0.00724620313566388,0.358292275831081,NS,PcB target,NA
35,CDON,162.210551347739,0.563150394003745,0.209958974645764,2.68219253286921,0.00731413516648565,0.358710279172933,NS,PcB target,NA
36,PPP2R2B,61.2839375210832,1.00697886248975,0.378519575536307,2.66030854827786,0.00780690968317938,0.364981318852511,NS,PcB target,NA
37,PIM1,293.269043701228,0.507932488473686,0.1930519837509,2.63106588497472,0.0085117533079801,0.365124412955133,NS,PcB target,NA
38,UNC93B1,51.847736004211,-2.13616148486954,0.811036571292564,-2.63386579653874,0.00844188476672678,0.365124412955133,NS,PcB target,NA
39,CAMKK2,506.062400307834,-0.348040758945339,0.132655588892902,-2.62364188233581,0.00869952026778002,0.366985467403566,NS,PcB target,NA
40,S1PR3,195.405295049565,0.538389450515933,0.211332977367271,2.54758844181842,0.0108470354158255,0.390874203588057,NS,PcB target,NA
41,ANK2,1190.07958918909,-0.363175821886964,0.143214835268286,-2.53588129474592,0.0112164747541939,0.395416983543427,NS,PcB target,NA
42,SAMD14,224.627414484981,0.504923405826909,0.199442453815346,2.53167465686314,0.0113519266050991,0.398052378071887,NS,PcB target,NA
43,NCOR2,3067.71359060408,0.382823511172407,0.151450502178661,2.52771371283274,0.0114807926573036,0.399792367022058,NS,PcB target,NA
44,FHL2,334.291994223297,0.412912040487113,0.165716388626266,2.4916789697749,0.0127140895466932,0.419498214413335,NS,PcB target,NA
45,ABCB1,64.8269237269323,3.70331574973864,1.49729280517385,2.47334104387728,0.0133856336319893,0.42131446209165,NS,PcB target,NA
46,RUVBL1,4632.63225851552,0.185831476002555,0.0753064919581045,2.46766873838632,0.0135996107762439,0.423170067000401,NS,PcB target,NA
47,CDCA7L,683.537745366708,-0.378193909241748,0.153673401912298,-2.46102386317695,0.0138541151004172,0.425819268771014,NS,PcB target,NA
48,TKTL1,75.2923324025244,0.777036099002933,0.317530084181203,2.44712591881375,0.0144000520559726,0.431138465715359,NS,PcB target,NA
49,IRS2,756.606969051965,0.329930469275564,0.136273062659744,2.42109821879733,0.0154736957945324,0.442090522347879,NS,PcB target,NA
50,NXPH4,42.5766114001252,-2.22871710053223,0.934971636974567,-2.38372696282428,0.0171383126881516,0.467819693257278,NS,PcB target,NA
51,VSTM2L,39.6464057999306,1.09415143594974,0.464659827892123,2.35473645508207,0.0185358466070812,0.491590986703835,NS,PcB target,NA
52,MAN1A1,472.116082588272,0.474584466035093,0.202933047906586,2.33862582231335,0.0193548071921965,0.496313537429617,NS,PcB target,NA
53,CDKN2B,49.0907669690238,1.25266074091975,0.536512334893953,2.334821884696,0.0195527274432403,0.496313537429617,NS,PcB target,NA
54,RELA,1184.64949555134,0.314291553314725,0.134060410442751,2.34440243974145,0.019057595623588,0.496313537429617,NS,PcB target,NA
55,EPB41L1,184.140756222854,0.526601693440228,0.225672431189067,2.33347817748746,0.0196230623661205,0.496313537429617,NS,PcB target,NA
56,NDUFA4L2,43.5748364804083,-2.33505879465524,1.00864466059474,-2.31504600765784,0.0206104143569514,0.5033414921171,NS,PcB target,NA
57,KLF2,102.304973526288,-1.00921029574855,0.437311000282926,-2.30776334255398,0.0210123028291446,0.5033414921171,NS,PcB target,NA
58,C1orf216,356.629056196516,0.342997247188851,0.150180502756436,2.28389997964733,0.0223774098382099,0.508223367242889,NS,PcB target,NA
59,ATXN7L2,260.323854982809,0.444218627583419,0.19430814537033,2.28615546063078,0.0222451653719475,0.508223367242889,NS,PcB target,NA
60,PODXL,179.717283477862,0.432140162197207,0.190143889768895,2.27270075689753,0.0230442190199984,0.511076620505417,NS,PcB target,NA
61,CNTN2,288.016800132573,2.28553780442753,1.00680798715194,2.27008310779582,0.0232025410437992,0.511113325641603,NS,PcB target,NA
62,ARHGAP17,693.508825785412,0.270297274601344,0.119844885908465,2.25539264819187,0.0241086938001509,0.514554630532252,NS,PcB target,NA
63,CLVS2,189.128869395688,-0.478158708091671,0.212189668404251,-2.25344952790403,0.0242308196933633,0.51521190243227,NS,PcB target,NA
64,GABRA2,62.9662382802695,-3.69667579248609,1.65475511889907,-2.23397151050697,0.0254849476656897,0.521416649181119,NS,PcB target,NA
65,MAP3K13,390.378720977749,0.316328035764694,0.14204623688755,2.22693710650788,0.0259514774563395,0.52173006663701,NS,PcB target,NA
66,BRPF3,830.996123255896,0.269086860203547,0.120890064570285,2.2258806888725,0.0260221741930957,0.52173006663701,NS,PcB target,NA
67,RUNX2,68.7986025403428,-0.693626027459705,0.31115009641408,-2.22923288616509,0.0257984134880772,0.52173006663701,NS,PcB target,NA
68,ATP2A3,77.0188799462905,-1.00269596660441,0.450022668810844,-2.22810101823086,0.0258737794133409,0.52173006663701,NS,PcB target,NA
69,RAP1GAP,316.623469483198,-0.382218630394221,0.171947837119284,-2.22287547664277,0.0262241978240401,0.524943297525492,NS,PcB target,NA
70,HS1BP3,177.95191943694,0.427553594702389,0.193055931395039,2.21466179056426,0.0267832873566258,0.526287996709968,NS,PcB target,NA
71,CRMP1,2853.58135501105,0.280942626976917,0.126992150546395,2.21228340309331,0.0269470891470342,0.526287996709968,NS,PcB target,NA
72,GARNL3,83.2565773830608,0.695155197536264,0.31378031986975,2.2154200041125,0.0267312495385799,0.526287996709968,NS,PcB target,NA
73,IGSF9B,305.638615009458,0.436895863046295,0.197916150892301,2.20747958707037,0.0272805715689886,0.526287996709968,NS,PcB target,NA
74,RPA1,1957.11624749815,-0.246861389631108,0.111603857094309,-2.21194317166388,0.0269705917723124,0.526287996709968,NS,PcB target,NA
75,WLS,2418.74463821404,0.264131657245163,0.120708200897018,2.18818319950363,0.0286562603846823,0.533672255568169,NS,PcB target,NA
76,PPFIA4,43.099364928132,-1.56840153028558,0.716813805406278,-2.1880180298657,0.0286682890136549,0.533672255568169,NS,PcB target,NA
77,FAM131B,569.198657705333,0.376868664495318,0.172883800919277,2.17989575941408,0.0292651893489413,0.533951662272194,NS,PcB target,NA
78,MAPKAPK2,1627.47940424281,0.17904252505325,0.0821805327707892,2.17864887238709,0.0293577626081538,0.53486439673493,NS,PcB target,NA
79,ADAR,6280.41698626723,0.152177681559129,0.070415783824667,2.16113026502761,0.0306852782955342,0.543302300638254,NS,PcB target,NA
80,EYA1,310.798016190433,-0.361831482314958,0.167391066423662,-2.16159374598387,0.0306495039468943,0.543302300638254,NS,PcB target,NA
81,SIRPA,70.4350776840171,0.796079376486248,0.369460349576854,2.15470855640667,0.0311846478143633,0.545454644686511,NS,PcB target,NA
82,SEC22B,1380.54804639453,0.215273975226465,0.100313897749345,2.14600349559113,0.031872699809255,0.546618975855586,NS,PcB target,NA
83,EGFLAM,138.990627156561,-0.639478346763986,0.299013254566705,-2.13862876309829,0.0324657461195815,0.547386761688365,NS,PcB target,NA
